idx	speaker	path
p374_p374_387	p374	/home/anly/Documents/storage/dataset/VCTK-Corpus/wav48/p374/p374_387.wav
p374_p374_403	p374	/home/anly/Documents/storage/dataset/VCTK-Corpus/wav48/p374/p374_403.wav
p374_p374_167	p374	/home/anly/Documents/storage/dataset/VCTK-Corpus/wav48/p374/p374_167.wav
p374_p374_397	p374	/home/anly/Documents/storage/dataset/VCTK-Corpus/wav48/p374/p374_397.wav
p374_p374_201	p374	/home/anly/Documents/storage/dataset/VCTK-Corpus/wav48/p374/p374_201.wav
p374_p374_076	p374	/home/anly/Documents/storage/dataset/VCTK-Corpus/wav48/p374/p374_076.wav
p374_p374_104	p374	/home/anly/Documents/storage/dataset/VCTK-Corpus/wav48/p374/p374_104.wav
p374_p374_113	p374	/home/anly/Documents/storage/dataset/VCTK-Corpus/wav48/p374/p374_113.wav
p374_p374_176	p374	/home/anly/Documents/storage/dataset/VCTK-Corpus/wav48/p374/p374_176.wav
p374_p374_131	p374	/home/anly/Documents/storage/dataset/VCTK-Corpus/wav48/p374/p374_131.wav
p374_p374_191	p374	/home/anly/Documents/storage/dataset/VCTK-Corpus/wav48/p374/p374_191.wav
p374_p374_402	p374	/home/anly/Documents/storage/dataset/VCTK-Corpus/wav48/p374/p374_402.wav
p374_p374_129	p374	/home/anly/Documents/storage/dataset/VCTK-Corpus/wav48/p374/p374_129.wav
p374_p374_275	p374	/home/anly/Documents/storage/dataset/VCTK-Corpus/wav48/p374/p374_275.wav
p374_p374_253	p374	/home/anly/Documents/storage/dataset/VCTK-Corpus/wav48/p374/p374_253.wav
p374_p374_213	p374	/home/anly/Documents/storage/dataset/VCTK-Corpus/wav48/p374/p374_213.wav
p374_p374_391	p374	/home/anly/Documents/storage/dataset/VCTK-Corpus/wav48/p374/p374_391.wav
p374_p374_361	p374	/home/anly/Documents/storage/dataset/VCTK-Corpus/wav48/p374/p374_361.wav
p374_p374_351	p374	/home/anly/Documents/storage/dataset/VCTK-Corpus/wav48/p374/p374_351.wav
p374_p374_022	p374	/home/anly/Documents/storage/dataset/VCTK-Corpus/wav48/p374/p374_022.wav
p374_p374_194	p374	/home/anly/Documents/storage/dataset/VCTK-Corpus/wav48/p374/p374_194.wav
p374_p374_105	p374	/home/anly/Documents/storage/dataset/VCTK-Corpus/wav48/p374/p374_105.wav
p374_p374_305	p374	/home/anly/Documents/storage/dataset/VCTK-Corpus/wav48/p374/p374_305.wav
p374_p374_168	p374	/home/anly/Documents/storage/dataset/VCTK-Corpus/wav48/p374/p374_168.wav
p374_p374_106	p374	/home/anly/Documents/storage/dataset/VCTK-Corpus/wav48/p374/p374_106.wav
p374_p374_163	p374	/home/anly/Documents/storage/dataset/VCTK-Corpus/wav48/p374/p374_163.wav
p374_p374_260	p374	/home/anly/Documents/storage/dataset/VCTK-Corpus/wav48/p374/p374_260.wav
p374_p374_111	p374	/home/anly/Documents/storage/dataset/VCTK-Corpus/wav48/p374/p374_111.wav
p374_p374_383	p374	/home/anly/Documents/storage/dataset/VCTK-Corpus/wav48/p374/p374_383.wav
p374_p374_202	p374	/home/anly/Documents/storage/dataset/VCTK-Corpus/wav48/p374/p374_202.wav
p374_p374_184	p374	/home/anly/Documents/storage/dataset/VCTK-Corpus/wav48/p374/p374_184.wav
p374_p374_272	p374	/home/anly/Documents/storage/dataset/VCTK-Corpus/wav48/p374/p374_272.wav
p374_p374_078	p374	/home/anly/Documents/storage/dataset/VCTK-Corpus/wav48/p374/p374_078.wav
p374_p374_051	p374	/home/anly/Documents/storage/dataset/VCTK-Corpus/wav48/p374/p374_051.wav
p374_p374_338	p374	/home/anly/Documents/storage/dataset/VCTK-Corpus/wav48/p374/p374_338.wav
p374_p374_044	p374	/home/anly/Documents/storage/dataset/VCTK-Corpus/wav48/p374/p374_044.wav
p374_p374_228	p374	/home/anly/Documents/storage/dataset/VCTK-Corpus/wav48/p374/p374_228.wav
p374_p374_216	p374	/home/anly/Documents/storage/dataset/VCTK-Corpus/wav48/p374/p374_216.wav
p374_p374_347	p374	/home/anly/Documents/storage/dataset/VCTK-Corpus/wav48/p374/p374_347.wav
p374_p374_083	p374	/home/anly/Documents/storage/dataset/VCTK-Corpus/wav48/p374/p374_083.wav
p374_p374_300	p374	/home/anly/Documents/storage/dataset/VCTK-Corpus/wav48/p374/p374_300.wav
p374_p374_097	p374	/home/anly/Documents/storage/dataset/VCTK-Corpus/wav48/p374/p374_097.wav
p374_p374_127	p374	/home/anly/Documents/storage/dataset/VCTK-Corpus/wav48/p374/p374_127.wav
p374_p374_060	p374	/home/anly/Documents/storage/dataset/VCTK-Corpus/wav48/p374/p374_060.wav
p374_p374_020	p374	/home/anly/Documents/storage/dataset/VCTK-Corpus/wav48/p374/p374_020.wav
p374_p374_192	p374	/home/anly/Documents/storage/dataset/VCTK-Corpus/wav48/p374/p374_192.wav
p374_p374_119	p374	/home/anly/Documents/storage/dataset/VCTK-Corpus/wav48/p374/p374_119.wav
p374_p374_153	p374	/home/anly/Documents/storage/dataset/VCTK-Corpus/wav48/p374/p374_153.wav
p374_p374_161	p374	/home/anly/Documents/storage/dataset/VCTK-Corpus/wav48/p374/p374_161.wav
p374_p374_071	p374	/home/anly/Documents/storage/dataset/VCTK-Corpus/wav48/p374/p374_071.wav
p374_p374_398	p374	/home/anly/Documents/storage/dataset/VCTK-Corpus/wav48/p374/p374_398.wav
p374_p374_017	p374	/home/anly/Documents/storage/dataset/VCTK-Corpus/wav48/p374/p374_017.wav
p374_p374_233	p374	/home/anly/Documents/storage/dataset/VCTK-Corpus/wav48/p374/p374_233.wav
p374_p374_197	p374	/home/anly/Documents/storage/dataset/VCTK-Corpus/wav48/p374/p374_197.wav
p374_p374_066	p374	/home/anly/Documents/storage/dataset/VCTK-Corpus/wav48/p374/p374_066.wav
p374_p374_188	p374	/home/anly/Documents/storage/dataset/VCTK-Corpus/wav48/p374/p374_188.wav
p374_p374_040	p374	/home/anly/Documents/storage/dataset/VCTK-Corpus/wav48/p374/p374_040.wav
p374_p374_124	p374	/home/anly/Documents/storage/dataset/VCTK-Corpus/wav48/p374/p374_124.wav
p374_p374_218	p374	/home/anly/Documents/storage/dataset/VCTK-Corpus/wav48/p374/p374_218.wav
p374_p374_099	p374	/home/anly/Documents/storage/dataset/VCTK-Corpus/wav48/p374/p374_099.wav
p374_p374_031	p374	/home/anly/Documents/storage/dataset/VCTK-Corpus/wav48/p374/p374_031.wav
p374_p374_036	p374	/home/anly/Documents/storage/dataset/VCTK-Corpus/wav48/p374/p374_036.wav
p374_p374_008	p374	/home/anly/Documents/storage/dataset/VCTK-Corpus/wav48/p374/p374_008.wav
p374_p374_221	p374	/home/anly/Documents/storage/dataset/VCTK-Corpus/wav48/p374/p374_221.wav
